course_id	part_number	chapter_id	chapter_number	chapter_name	chapter_title	chapter_description	chapter_url
825502	3	823385	4	les-variables-1-2	Les variables 1/2		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/823385-les-variables-1-2
825502	3	823446	5	les-variables-2-2	Les variables 2/2		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/823446-les-variables-2-2
825502	3	823650	6	les-conditions	Les conditions		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/823650-les-conditions
825502	3	823786	7	les-boucles	Les boucles		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/823786-les-boucles
825502	3	823872	8	modules-fonctions-et-sous-routines	Modules, fonctions et sous-routines		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/823872-modules-fonctions-et-sous-routines
825502	4	824001	1	les-boites-de-dialogue-usuelles	Les boîtes de dialogue usuelles		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/824001-les-boites-de-dialogue-usuelles
825502	5	825348	1	les-fonctions-dexcel	Les fonctions d'Excel		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/825348-les-fonctions-dexcel
825502	5	825400	2	bonnes-pratiques-et-debogage-des-formules	Bonnes pratiques et débogage des formules		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/825400-bonnes-pratiques-et-debogage-des-formules
825502	5	825479	3	corrections-orthographiques	Corrections orthographiques		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/825479-corrections-orthographiques
825502	5	825500	4	utilisation-du-classeur	Utilisation du classeur		https://openclassrooms.com/fr/courses/825502-analysez-des-donnees-avec-excel/825500-utilisation-du-classeur
5191546	1	5191553	1	comprenez-le-role-du-business-plan	Comprenez le rôle du business plan		https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan/5191553-comprenez-le-role-du-business-plan
5191546	1	5646786	2	exprimez-qui-vous-etes-a-travers-le-business-plan	Exprimez qui vous êtes à travers le business plan		https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan/5646786-exprimez-qui-vous-etes-a-travers-le-business-plan
5191546	1	5646791	3	choisissez-le-format-adapte	Choisissez le format adapté		https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan/5646791-choisissez-le-format-adapte
5191546	1	5646801	4	insistez-sur-la-mise-en-oeuvre-de-votre-projet	Insistez sur la mise en œuvre de votre projet		https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan/5646801-insistez-sur-la-mise-en-oeuvre-de-votre-projet
5191546	1	5646806	5	donnez-vous-les-moyens-d-elaborer-votre-business-plan	Donnez-vous les moyens d’élaborer votre business plan		https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan/5646806-donnez-vous-les-moyens-d-elaborer-votre-business-plan
5191546	2	5646811	1	presentez-votre-proposition-de-valeur	Présentez votre proposition de valeur		https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan/5646811-presentez-votre-proposition-de-valeur
5191546	2	5646816	2	detaillez-votre-place-dans-le-marche	Détaillez votre place dans le marché		https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan/5646816-detaillez-votre-place-dans-le-marche
5191546	2	5646821	3	valorisez-les-acquis-de-votre-projet	Valorisez les acquis de votre projet		https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan/5646821-valorisez-les-acquis-de-votre-projet
5191546	2	5646831	4	exprimez-precisement-vos-ambitions	Exprimez précisément vos ambitions		https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan/5646831-exprimez-precisement-vos-ambitions
5191546	3	5646896	1	refletez-vos-perspectives-financieres-et-vos-priorites-operationnelles	Reflétez vos perspectives financières et vos priorités opérationnelles		https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan/5646896-refletez-vos-perspectives-financieres-et-vos-priorites-operationnelles
5191546	3	5646906	2	faites-apparaitre-la-construction-de-vos-projections	Faites apparaître la construction de vos projections		https://openclassrooms.com/fr/courses/5191546-construisez-un-business-plan/5646906-faites-apparaitre-la-construction-de-vos-projections
