src_course_id	src_chapter_id	relation	tgt_course_id	tgt_chapter_id	href
4011851	0	requires	4452741	0	https://openclassrooms.com/courses/decouvrez-les-librairies-python-pour-la-data-science
4011851	0	requires	4525296	0	https://openclassrooms.com/fr/courses/4525296-maitrisez-les-bases-des-probabilites
4011851	0	requires	4525306	0	https://openclassrooms.com/fr/courses/4525306-initiez-vous-a-la-statistique-inferentielle
4011851	0	requires	2304731	6009031	https://openclassrooms.com/fr/courses/2304731-learn-python-basics-for-data-analysis/6009031-get-started-with-python-and-anaconda
4011851	4025156	references	4525266	0	https://openclassrooms.com/fr/courses/4525266-decrivez-et-nettoyez-votre-jeu-de-donnees
4011851	5868381	references	4452741	0	https://openclassrooms.com/fr/courses/4452741-decouvrez-les-librairies-python-pour-la-data-science
4011851	4121986	references	2304731	6009031	https://openclassrooms.com/fr/courses/2304731-learn-python-basics-for-data-analysis/6009031-get-started-with-python-and-anaconda
4011851	4121986	references	2304731	6009061	https://openclassrooms.com/fr/courses/2304731-learn-python-basics-for-data-analysis/6009061-code-using-a-jupyter-notebook
4011851	4121986	references	4297211	0	https://openclassrooms.com/fr/courses/4297211-evaluez-et-ameliorez-les-performances-dun-modele-de-machine-learning
4011851	6785036	references	4011851	0	https://openclassrooms.com/fr/courses/4011851/parts/4121986/edit
4525256	0	requires	1946386	0	https://openclassrooms.com/fr/courses/1946386-comprendre-le-web
4525256	6250851	references	4525256	0	https://openclassrooms.com/fr/courses/4525256/parts/6250851/https%20:/cran.r-project.org/
4452741	0	requires	4262331	0	https://openclassrooms.com/courses/demarrez-votre-projet-avec-python
4452741	0	requires	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql
4452741	0	requires	4302126	0	https://openclassrooms.com/courses/decouvrez-la-programmation-orientee-objet-avec-python
4452741	0	requires	43538	0	https://openclassrooms.com/courses/reprenez-le-controle-a-l-aide-de-linux
4452741	4740937	requires	4452741	4740941	https://openclassrooms.com/fr/courses/4452741-decouvrez-les-librairies-python-pour-la-data-science/4740941-plongez-en-detail-dans-la-librairie-numpy
4452741	4740938	requires	4525296	0	https://openclassrooms.com/courses/maitrisez-les-bases-des-probabilites
4452741	6732456	requires	4452741	0	https://openclassrooms.com/courses/4452741/parts/4740942/edit
4452741	5559346	requires	4449026	0	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql
4452741	5559346	requires	4449026	4504461	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/utilisez-les-tables-dassociation
4452741	5559346	requires	4449026	4568781	https://openclassrooms.com/courses/initiez-vous-a-lalgebre-relationnelle-avec-le-langage-sql/ne-perdez-pas-de-vue-vos-cles
4452741	5559646	references	4525266	4927821	https://openclassrooms.com/courses/nettoyez-et-decrivez-votre-jeu-de-donnees/installez-r-ou-python-1#r-4927997
4452741	5559646	references	4525266	4927821	https://openclassrooms.com/courses/nettoyez-et-decrivez-votre-jeu-de-donnees/installez-r-ou-python-1#r-4927987
4452741	5559646	references	4525266	4927821	https://openclassrooms.com/courses/nettoyez-et-decrivez-votre-jeu-de-donnees/installez-r-ou-python-1#r-4929093
4452741	5559821	references	43538	0	https://openclassrooms.com/courses/reprenez-le-controle-a-l-aide-de-linux
4452741	5574801	references	4525266	4927821	https://openclassrooms.com/courses/nettoyez-et-decrivez-votre-jeu-de-donnees/installez-r-ou-python-1#r-4927987
